,SECTIONNAME,NODENO,NODENAME,PARENTNODE,ATTRIBUTES,LEVELNO,MAPPINGQUERY,FILTERCONDITION,ISACTIVE
5,Module,6,Module,DataFutures,"MODID, CRDTPTS, CRDTSCM, FTE, LEVLPTS, MODLANGID, MTITLE",1,,,0
6,Module,7,ModuleCostCentre,Module,"COSTCN, COSTCNPROPORTION",2,,,0
7,Module,8,ModuleDeliveryRole,Module,"MDRHESAID, FRANIND, MDRPROPORTION",2,,,0
8,Module,9,ModuleSubject,Module,"MODSBJ, MODPROPORTION",2,,,0
9,Qualification,10,Qualification,DataFutures,"QUALID, QUALCAT, QUALTITLE",1,,,0
10,Qualification,11,AwardingBodyRole,Qualification,AWARDINGBODYID,2,,,0
11,Qualification,12,QualificationSubject,Qualification,"QUALSUBJECT, QUALITT, QUALPROPORTION",2,,,0
12,SessionYear,13,SessionYear,DataFutures,"SESSIONYEARID, OWNSESSIONID, SYENDDATE, SYSTARTDATE",1,,,0
16,Student,17,CollaborativeProvision,Engagement,"COLPROVTYPEID, PARTNERNUMHUS, PARTNERSID, PARTNERUKPRN",3,,,0
20,Student,21,Leaver,Engagement,"ENGENDDATE, INTENDEDDESTINATION, RSNENGEND",3,,,0
21,Student,22,QualificationAwarded,Engagement,"QUALAWARDID, QUALAWARDRESULT, QUALID, THESISTITLE",3,,,0
22,Student,23,QualificationAwardAccreditation,QualificationAwarded,QUALAWARDACCID,4,,,0
23,Student,24,StudentAccreditationAim,Engagement,STUACCID,3,,,0
27,Student,28,ModuleInstance,StudentCourseSession,"MODINSTID, APEL, CONTINUING, INACTIVEMOD, LANGPCNT, MIFEEAMOUNT, MODCOUNT, MODID, MODINSTENDDATE, MODINSTSTARTDATE, MODULEOUTCOME, MODULERESULT",4,,,0
28,Student,29,OffVenueActivity,StudentCourseSession,"OVAID, ACTDURATION, ACTDURATIONTYPE, ACTENDDATE, ACTSTARTDATE, ACTTYPEID, COUNTRY, HOSTID, HOSTIDTYPE, MOBSCHEME, MODINSTID",4,,,0
29,Student,30,ReferencePeriodStudentLoad,StudentCourseSession,"REFPERIOD, YEAR, RPSTULOAD",4,,,0
30,Student,31,SessionStatus,StudentCourseSession,"STATUSVALIDFROM, STATUSCHANGEDTO",4,,,0
31,Student,32,StudentFinancialSupport,StudentCourseSession,"FINSUPTYPE, APPSPEND, FINSUPAMOUNT",4,,,0
32,Student,33,StudyLocation,StudentCourseSession,"STUDYLOCID, DISTANCE, STUDYPROPORTION, VENUEID",4,,,0
33,Student,34,SupervisorAllocation,StudentCourseSession,"SUPALLID, REF2021UNITOFASSESSMENT, SUPALLHESAID, SUPALLPROP",4,,,0
34,Student,35,StudentInitiative,Engagement,STUINITID,3,,,0
35,Student,36,LanguageProficiency,Student,"LANGPROFICIENCYID, PROFICIENCYTYPE, PROFICIENCYLEVEL",2,,,0
36,Venue,37,Venue,DataFutures,"VENUEID, OWNVENUEID, POSTCODE, VENUENAME, VENUEUKPRN",1,,,0
4,Course,5,CurriculumAccreditation,Course,"CURACCID, CURACCVALIDFROM, CURACCVALIDTO",2,"select HCDA_ACID as CURACCID
,HCDA_VLFD as CURACCVALIDFROM
,HCDA_VLTD as CURACCVALIDTO from SRS_HCDA",HCDA_CSID = {CourseID},1
